AHL_GP,AHL_total_TOI,AHL_goals,primary_assists,secondary_assists,ev_goals,ev_primary_assists,ev_secondary_assists,AHL_shots,ev_shots,passes,ev_passes,ze_controlled_entry,ze_uncontrolled_entry,ze_controlled_exit,ze_uncontrolled_exit,penalties_taken,penalties_drawn,team_ev_shots_for,team_ev_shots_against,GP,G,A,P,PlusMinus,PIM,PointPerGame,PPG,PPP,SHG,SHP,GWG,OTG,S,ShootingPercentage,NHL_TOIPerGame_sec,ShiftsPerGame,FaceoffWinPercentage
30,37064,1,4,4,0,3,4,90,68,586,477,9,108,105,96,3,1,358,562,2,0,0,0,-1,0,0,0,0,0,0,0,0,3,0,1139,22.5,0
26,26234,7,4,4,0,2,3,80,65,475,342,75,41,81,18,9,7,333,228,8,2,1,3,2,2,0.38,0,0,1,2,0,0,11,18.2,636,16.6,0
26,26234,7,4,4,0,2,3,80,65,475,342,75,41,81,18,9,7,333,228,41,5,12,17,5,6,0.41,1,1,0,1,0,0,29,17.2,716,16.9,40.9
26,26234,7,4,4,0,2,3,80,65,475,342,75,41,81,18,9,7,333,228,25,0,5,5,2,8,0.2,0,1,0,0,0,0,21,0,829,20.8,44.4
13,12968,2,2,2,0,0,1,36,24,125,78,16,24,12,7,3,3,130,128,4,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,446,11.3,50
13,12968,2,2,2,0,0,1,36,24,125,78,16,24,12,7,3,3,130,128,8,0,0,0,-4,0,0,0,0,0,0,0,0,7,0,538,13.1,69.2
10,8561,0,0,1,0,0,1,23,19,100,78,14,16,15,15,2,3,106,95,5,0,1,1,-1,2,0.2,0,0,0,0,0,0,3,0,634,18,50
10,8561,0,0,1,0,0,1,23,19,100,78,14,16,15,15,2,3,106,95,73,7,14,21,-9,26,0.29,1,3,0,0,1,0,118,5.9,673,16.9,49.7
10,8561,0,0,1,0,0,1,23,19,100,78,14,16,15,15,2,3,106,95,73,8,10,18,-2,29,0.25,2,3,3,4,0,0,119,6.7,816,20.3,51.9
10,8561,0,0,1,0,0,1,23,19,100,78,14,16,15,15,2,3,106,95,7,1,5,6,2,4,0.86,0,2,0,0,0,0,20,5,1116,24.7,52.4
10,8561,0,0,1,0,0,1,23,19,100,78,14,16,15,15,2,3,106,95,82,21,16,37,-3,35,0.45,8,10,2,2,4,0,122,17.2,842,19.4,47.1
10,8561,0,0,1,0,0,1,23,19,100,78,14,16,15,15,2,3,106,95,14,3,4,7,0,10,0.5,2,2,0,0,0,0,24,12.5,1047,22.6,60
10,8561,0,0,1,0,0,1,23,19,100,78,14,16,15,15,2,3,106,95,82,23,30,53,-1,31,0.65,9,24,1,2,3,0,185,12.4,1036,21.7,51.1
10,8561,0,0,1,0,0,1,23,19,100,78,14,16,15,15,2,3,106,95,7,2,1,3,-2,4,0.43,0,0,0,0,1,0,21,9.5,1196,25,61.9
10,8561,0,0,1,0,0,1,23,19,100,78,14,16,15,15,2,3,106,95,78,25,34,59,16,34,0.76,12,21,1,2,4,2,222,11.3,1097,21.4,45.1
10,8561,0,0,1,0,0,1,23,19,100,78,14,16,15,15,2,3,106,95,9,1,6,7,0,2,0.78,0,1,0,0,0,0,21,4.8,1314,30,55.5
10,8561,0,0,1,0,0,1,23,19,100,78,14,16,15,15,2,3,106,95,82,16,32,48,14,46,0.59,4,13,1,3,3,1,207,7.7,1105,23.3,51.3
10,8561,0,0,1,0,0,1,23,19,100,78,14,16,15,15,2,3,106,95,14,2,5,7,1,6,0.5,0,1,0,0,0,0,26,7.7,1213,26.8,48.5
10,8561,0,0,1,0,0,1,23,19,100,78,14,16,15,15,2,3,106,95,82,16,25,41,-8,34,0.5,5,9,1,1,5,1,191,8.4,1109,24.9,47.6
