ID,draft_g,mp,draft_fg,fga,3p,3pa,draft_ft,fta,orb,draft_trb,draft_ast,draft_stl,draft_blk,draft_tov,draft_pf,draft_pts,fg_per,3p_per,ft_per,mp_per,pts_per,trb_per,ast_per,season,weight,height,position,shoots,born,draft_year,pk,amature_honor,college,career_g,career_per,career_ws,career_ws48,career_ws_per_game,career_per_greater_than_15,ws_pergame_greater_than_0,ws48_greater_than_0
1985066,0.722222222,0.676604018,0.474201474,0.481351981,0,0,0.313380282,0.331476323,0,0.154621849,0.490797546,0.472972973,0.00913242,0.623376623,0.572519084,0.39279732,0.669054441,0,0.767967146,0.846733668,0.408450704,0.121212121,0.541666667,1984-85,0.135416667,0.253521127,Point Guard,Right,1963-01-19,1985,66,0,Boston College,653,16.6,46.9,0.11,0.0718224,yes,yes,yes
1985069,0.583333333,0.607258587,0.378378378,0.374125874,0,0,0.436619718,0.532033426,0,0.465546218,0.171779141,0.168918919,0.077625571,0,0.534351145,0.35678392,0.687679083,0,0.666324435,0.904522613,0.445070423,0.587878788,0.229166667,1984-85,0.583333333,0.647887324,Center,Right,1963-07-19,1985,69,0,George Washington University,626,9.7,15.9,0.069,0.0253994,no,yes,yes
1985073,0.638888889,0.69669475,0.584766585,0.572261072,0,0,0.355633803,0.353760446,0,0.115966387,0,0.297297297,0,0,0.618320611,0.478224456,0.694842407,0,0.816221766,0.964824121,0.557746479,0.090909091,0,1984-85,0.270833333,0.422535211,Point Guard,Right,1962-01-04,1985,73,0,Eastern Michigan University,50,7.7,-0.5,-0.044,-0.01,no,no,no
1985075,0.611111111,0.626053143,0.417690418,0.389277389,0,0,0.299295775,0.359331476,0,0.515966387,0,0.256756757,0.150684932,0.461038961,0.564885496,0.350921273,0.729226361,0,0.676591376,0.899497487,0.41971831,0.63030303,0,1984-85,0.40625,0.605633803,Small Forward and Power Forward,Right,1962-11-29,1985,75,0,University of Colorado,22,10.5,-0.1,-0.043,-0.00454545,no,no,no
1985077,0.721340388,0.611928937,0.537927538,0.474821475,0,0,0.422423429,0.468364505,0,0.375163399,0.098743792,0.243028743,0.147785751,0.413007627,0.596752696,0.462391322,0.772183563,0,0.729881686,0.761545824,0.48562486,0.378354978,0.106316138,,0.6875,0.85915493,Center,Right,1964-12-19,1985,77,0,,470,21.2,47.3,0.2,0.100638,yes,yes,yes
1985079,0.722222222,0.663642255,0.417690418,0.405594406,0,0,0.330985915,0.331476323,0,0.21512605,0,0.25,0.01369863,0.415584416,0.58778626,0.358458961,0.700573066,0,0.811088296,0.829145729,0.371830986,0.193939394,0,1984-85,0.291666667,0.535211268,Small Forward,Right,1963-06-08,1985,79,0,Old Dominion University,33,15,0.7,0.134,0.0212121,no,yes,yes
1985082,0.638888889,0.600777706,0.486486486,0.425407925,0,0,0.411971831,0.43454039,0,0.127731092,0,0.175675676,0.01826484,0.474025974,0.435114504,0.424623116,0.776504298,0,0.770020534,0.831658291,0.492957746,0.109090909,0,1984-85,0.375,0.605633803,Small Forward,Right,1963-06-03,1985,82,0,University of Wisconsin,160,10.3,1.1,0.03,0.006875,no,yes,yes
1985083,0.666666667,0.64808814,0.515970516,0.526806527,0,0,0.221830986,0.21448468,0,0.107563025,0,0.195945946,0.01369863,0.363636364,0.702290076,0.399497487,0.666189112,0,0.839835729,0.866834171,0.447887324,0.078787879,0,1984-85,0.21875,0.394366197,Shooting Guard and Point Guard,Right,1962-11-08,1985,83,0,Wake Forest University,239,9.8,0.7,0.014,0.00292887,no,yes,yes
1985084,0.666666667,0.659105638,0.567567568,0.547785548,0,0,0.454225352,0.493036212,0,0.176470588,0,0.101351351,0.02739726,0,0.580152672,0.504187605,0.703438395,0,0.748459959,0.881909548,0.569014085,0.163636364,0,1984-85,0.197916667,0.394366197,Shooting Guard,Right,1962-11-09,1985,84,0,Rutgers University,612,13.7,17.9,0.079,0.0292484,no,yes,yes
1985087,0.777777778,0.595593001,0.343980344,0.339160839,0,0,0.302816901,0.314763231,0,0.094117647,0.533742331,0.439189189,0.00913242,0.5,0.65648855,0.301507538,0.689111748,0,0.781314168,0.698492462,0.290140845,0.042424242,0.552083333,1984-85,0,0.112676056,Point Guard,Right,1963-07-13,1985,87,0,North Carolina State University,814,15.1,40.2,0.095,0.0493857,yes,yes,yes
