rank,age,nationality,name,pos,GP,G,A,P,PIM,plusMinus,PPG,SHG,GWG,GGP,AGP,PGP
395,17,CA,William Lochead,D,49,1,3,4,41,2,0,0,1,0.02,0.061,0.082
396,18,CA,Haydn Hopkins,F,31,1,3,4,14,-1,0,0,0,0.032,0.097,0.129
397,17,CA,Matthew Brassard,D,28,1,3,4,13,10,0,0,0,0.036,0.107,0.143
398,18,CA,Justin Lemcke,D,19,1,3,4,39,-12,0,0,0,0.053,0.158,0.211
399,16,CA,Zachary Roberts,F,10,1,3,4,6,0,0,0,0,0.1,0.3,0.4
400,16,CA,Nathan Schnarr,F,6,1,3,4,0,2,0,0,1,0.167,0.5,0.667
401,18,CA,Rocky Kaura,D,58,0,4,4,53,-8,0,0,0,0,0.069,0.069
402,16,CA,Zachary Gallant,F,51,0,4,4,23,-16,0,0,0,0,0.078,0.078
403,20,CA,Lucas Peressini,G,47,0,4,4,0,,0,0,0,0,0.085,0.085
404,17,US,Hakon Nilsen,D,45,0,4,4,6,-29,0,0,0,0,0.089,0.089
405,17,CA,Kyle West,F,45,0,4,4,31,-14,0,0,0,0,0.089,0.089
406,17,CA,Sean Allen,D,42,0,4,4,77,-7,0,0,0,0,0.095,0.095
407,17,US,Sam Field,F,37,0,4,4,58,-4,0,0,0,0,0.108,0.108
408,17,US,Marcus Dickerson,F,56,3,0,3,20,-7,0,0,1,0.054,0,0.054
409,17,CA,David Pearce,F,19,2,1,3,10,-2,1,0,1,0.105,0.053,0.158
410,17,US,Shaun Bily,F,7,2,1,3,2,-1,1,0,0,0.286,0.143,0.429
411,16,CA,Hudson Wilson,D,36,1,2,3,22,-5,1,0,1,0.028,0.056,0.083
412,16,CA,Kyle Auger,D,28,1,2,3,6,7,0,0,0,0.036,0.071,0.107
413,20,CA,Austin Kosack,D,6,1,2,3,8,5,0,0,0,0.167,0.333,0.5
414,17,CA,Levi Tetrault,D,63,0,3,3,51,-23,0,0,0,0,0.048,0.048
415,18,CA,Michael McNiven,G,53,0,3,3,4,,0,0,0,0,0.057,0.057
416,16,CA,Cole Fraser,D,50,0,3,3,51,-12,0,0,0,0,0.06,0.06
417,20,CA,Charlie Graham,G,47,0,3,3,2,,0,0,0,0,0.064,0.064
418,19,CA,Mackenzie Blackwood,G,43,0,3,3,9,,0,0,0,0,0.07,0.07
419,18,CA,Justin Fazio,G,41,0,3,3,0,,0,0,0,0,0.073,0.073
420,16,US,Anthony DeMeo,D,37,0,3,3,6,-6,0,0,0,0,0.081,0.081
421,18,CH,Timo Haussener,F,22,0,3,3,6,-7,0,0,0,0,0.136,0.136
422,17,CA,Franco Sproviero,D,10,0,3,3,2,3,0,0,0,0,0.3,0.3
