@relation 'QueryResult-weka.filters.unsupervised.attribute.Remove-R1-2,4,22-23'

@attribute DraftAge numeric
@attribute country_group {CAN,EURO,USA}
@attribute Height numeric
@attribute Weight numeric
@attribute Position {C,L,D,R,W,F}
@attribute CSS_rank numeric
@attribute rs_GP numeric
@attribute rs_G numeric
@attribute rs_A numeric
@attribute rs_P numeric
@attribute rs_PIM numeric
@attribute rs_PlusMinus numeric
@attribute po_GP numeric
@attribute po_G numeric
@attribute po_A numeric
@attribute po_P numeric
@attribute po_PIM numeric
@attribute po_PlusMinus numeric
@attribute GP_greater_than_0 {no,yes}

@data
18,EURO,74,198,L,105,68,26,25,51,58,-15,?,?,?,?,?,?,no
18,EURO,73,220,D,31,63,6,3,9,58,-7,?,?,?,?,?,?,no
18,CAN,76,209,D,71,39,1,4,5,81,14,17,0,1,1,16,-3,no
18,EURO,73,198,L,69,44,17,23,40,63,-4,?,?,?,?,?,?,no
18,EURO,72,196,L,45,44,19,10,29,4,0,?,?,?,?,?,?,no
18,EURO,74,198,R,30,52,31,22,53,77,0,2,1,0,1,2,0,no
19,CAN,71,192,C,94,67,29,29,58,74,15,5,2,3,5,15,-3,no
19,EURO,73,216,L,?,37,14,6,20,38,0,2,0,0,0,0,0,no
18,EURO,72,203,D,61,54,16,24,40,40,0,?,?,?,?,?,?,no
18,CAN,73,190,L,107,68,23,35,58,27,-49,?,?,?,?,?,?,no
18,CAN,76,216,L,97,41,12,4,16,89,9,?,?,?,?,?,?,no
19,EURO,72,243,R,70,62,33,30,63,62,17,13,5,3,8,10,2,no
