id,PlayerName,DraftAge_norm,country_group,Height_norm,Weight_norm,Position,DraftYear,Overall,CSS_rank_norm,rs_GP_norm,rs_G_norm,rs_A_norm,rs_P_norm,rs_PIM_norm,rs_PlusMinus_norm,po_GP_norm,po_G_norm,po_A_norm,po_P_norm,po_PIM_norm,po_PlusMinus_norm,GP_greater_than_0,wx_sum,lmt_prob,LeafNode
11489,Dominic D'Amour,0.0,CAN,0.5714285714285714,0.5673076923076923,D,2002,88,0.2631578947368421,0.7555555555555555,0.0684931506849315,0.049019607843137254,0.06329113924050633,0.4697286012526096,0.488,0.4,0.0,0.11538461538461539,0.06521739130434782,0.26666666666666666,0.4166666666666667,no,11.49919727219223,1.0138125788468597e-05,7
43141,Willie Levesque,0.07142857142857142,USA,0.35714285714285715,0.21153846153846154,L,1999,111,0.2631578947368421,0.37777777777777777,0.1643835616438356,0.09803921568627451,0.13924050632911392,0.07933194154488518,0.552,0.0,0.0,0.0,0.0,0.0,0.375,no,1.2836463040072132,0.21693018123196414,4
57296,Daniel Volrab,0.0,EURO,0.42857142857142855,0.25,L,2001,126,0.2631578947368421,0.6666666666666666,0.1780821917808219,0.09803921568627451,0.14556962025316456,0.0709812108559499,0.688,0.06666666666666667,0.047619047619047616,0.0,0.021739130434782608,0.0,0.3333333333333333,no,10.65489962709344,2.3584444094242916e-05,1
8468081,Vaclav Pletka,0.14285714285714285,EURO,0.2857142857142857,0.20192307692307693,L,1999,208,0.2631578947368421,0.28888888888888886,0.2328767123287671,0.058823529411764705,0.14556962025316456,0.054279749478079335,0.552,0.3333333333333333,0.09523809523809523,0.038461538461538464,0.06521739130434782,0.0,0.375,yes,1.0422376214748468,0.26071847415102956,4
8468539,Ivan Huml,0.07142857142857142,EURO,0.5,0.375,L,2000,59,0.2631578947368421,0.5444444444444444,0.726027397260274,0.5,0.6582278481012658,0.15031315240083507,0.552,0.0,0.0,0.0,0.0,0.0,0.375,yes,-0.05375884690644028,0.51343647591593156,5
8469505,Noah Welch,0.07142857142857142,USA,0.6428571428571429,0.5192307692307693,D,2001,54,0.2631578947368421,0.3333333333333333,0.1506849315068493,0.19607843137254902,0.1962025316455696,0.07724425887265135,0.552,0.0,0.0,0.0,0.0,0.0,0.375,yes,1.1327568409253708,0.24365269458256691,4
9556,Denis Denisov,0.07142857142857142,EURO,0.35714285714285715,0.3173076923076923,D,2000,149,0.2679425837320574,0.5222222222222223,0.0273972602739726,0.08823529411764706,0.06962025316455696,0.04175365344467641,0.576,0.0,0.0,0.0,0.0,0.0,0.375,no,8.797250937799244,0.00015112517751636467,6
11912,Mike Morris,0.07142857142857142,USA,0.42857142857142855,0.23076923076923078,R,2002,27,0.2679425837320574,0.34444444444444444,0.3972602739726027,0.28431372549019607,0.3670886075949367,0.054279749478079335,0.552,0.0,0.0,0.0,0.0,0.0,0.375,no,0.6542940968856072,0.34202252586959064,4
16731,Alexander Golovin,0.0,EURO,0.21428571428571427,0.3173076923076923,L,2001,174,0.2679425837320574,0.06666666666666667,0.0273972602739726,0.029411764705882353,0.03164556962025317,0.0,0.576,0.0,0.0,0.0,0.0,0.0,0.375,no,8.369393759804364,0.00023180232683331736,6
9594,Dmitri Kirilenko,0.14285714285714285,EURO,0.2857142857142857,0.33653846153846156,R,1999,252,0.2727272727272727,0.4888888888888889,0.0958904109589041,0.08823529411764706,0.10126582278481013,0.05845511482254697,0.592,0.0,0.0,0.0,0.0,0.0,0.375,no,7.503180719171919,0.00055102416386672065,6
