id,PlayerName,DraftAge_norm,country_group,Height_norm,Weight_norm,Position,DraftYear,Overall,CSS_rank_norm,rs_GP_norm,rs_G_norm,rs_A_norm,rs_P_norm,rs_PIM_norm,rs_PlusMinus_norm,po_GP_norm,po_G_norm,po_A_norm,po_P_norm,po_PIM_norm,po_PlusMinus_norm,sum_7yr_GP,sum_7yr_TOI,GP_greater_than_0
8468598,Lubomir Visnovsky,0.42857142857142855,EURO,0.21428571428571427,0.2980769230769231,D,2000,118,999999999,0.6777777777777778,0.2876712328767123,0.29411764705882354,0.3227848101265823,0.08350730688935282,0.552,0.26666666666666666,0.23809523809523808,0.11538461538461539,0.17391304347826086,0.13333333333333333,0.375,417,8587,yes
8468612,Maxim Sushinsky,0.5714285714285714,EURO,0.14285714285714285,0.18269230769230768,R,2000,132,999999999,0.4777777777777778,0.3013698630136986,0.24509803921568626,0.2974683544303797,0.12108559498956159,0.552,0.26666666666666666,0.09523809523809523,0.19230769230769232,0.15217391304347827,0.05,0.375,30,420,yes
8468613,Petteri Nummelin,0.7142857142857143,EURO,0.21428571428571427,0.25961538461538464,D,2000,133,999999999,0.5444444444444444,0.2328767123287671,0.2647058823529412,0.27848101265822783,0.04175365344467641,0.552,0.16666666666666666,0.0,0.11538461538461539,0.06521739130434782,0.0,0.375,112,2084,yes
8468615,Michael Danton,0.14285714285714285,CAN,0.14285714285714285,0.28846153846153844,C,2000,135,999999999,0.7,0.4794520547945205,0.5294117647058824,0.5632911392405063,0.4509394572025052,0.552,1.0,0.38095238095238093,0.6538461538461539,0.5434782608695652,1.0,0.375,87,979,yes
8468654,Jarno Kultanen,0.6428571428571429,EURO,0.5,0.3557692307692308,D,2000,174,999999999,0.5666666666666667,0.1095890410958904,0.09803921568627451,0.11392405063291139,0.17118997912317327,0.552,0.36666666666666664,0.0,0.0,0.0,0.06666666666666667,0.375,102,1720,yes
8468656,Jukka Hentunen,0.5714285714285714,EURO,0.21428571428571427,0.27884615384615385,R,2000,176,999999999,0.6888888888888889,0.273972602739726,0.30392156862745096,0.3227848101265823,0.1837160751565762,0.552,0.26666666666666666,0.19047619047619047,0.07692307692307693,0.13043478260869565,0.1,0.375,38,440,yes
8468660,Darcy Hordichuk,0.14285714285714285,CAN,0.42857142857142855,0.5192307692307693,L,2000,180,999999999,0.7,0.0821917808219178,0.0784313725490196,0.08860759493670886,0.5615866388308977,0.552,0.36666666666666664,0.19047619047619047,0.07692307692307693,0.13043478260869565,0.35833333333333334,0.375,257,1528,yes
8468694,Peter Bartos,0.6428571428571429,EURO,0.35714285714285715,0.23076923076923078,L,2000,214,999999999,0.6777777777777778,0.3561643835616438,0.2549019607843137,0.3291139240506329,0.054279749478079335,0.552,0.1,0.0,0.038461538461538464,0.021739130434782608,0.05,0.375,13,180,yes
8468695,Matthew Lombardi,0.14285714285714285,CAN,0.2857142857142857,0.3269230769230769,C,2002,90,999999999,0.8,0.8082191780821918,0.7843137254901961,0.879746835443038,0.1544885177453027,0.744,0.9333333333333333,0.9047619047619048,0.9615384615384616,0.9565217391304348,0.18333333333333332,0.375,366,5880,yes
8468700,Paul Gaustad,0.0,USA,0.7142857142857143,0.6346153846153846,C,2000,220,999999999,0.6222222222222222,0.0821917808219178,0.0784313725490196,0.08860759493670886,0.22964509394572025,0.552,0.0,0.0,0.0,0.0,0.0,0.375,133,1670,yes
