id,PlayerName,DraftAge,Country,country_group,Height,Weight,Position,DraftYear,Overall,CSS_rank,rs_GP,rs_G,rs_A,rs_P,rs_PIM,rs_PlusMinus,po_GP,po_G,po_A,po_P,po_PIM,po_PlusMinus,sum_7yr_GP,sum_7yr_TOI,GP_greater_than_0
8471851,"Matt D'Agostini",19,CAN,CAN,72,198,R,2005,190,64,59,24,22,46,29,0,4,0,2,2,8,-2,238,3160,yes
8474062,"Riley Nash",18,CAN,CAN,73,200,C,2007,21,64,55,38,46,84,87,0,11,4,7,11,31,0,110,1388,yes
9262,"Denis Bodrov",20,Russia,EURO,73,205,D,2006,55,65,41,2,5,7,44,-7,8,0,0,0,8,-1,0,0,no
12520,"Jake Hansen",18,USA,USA,73,192,R,2007,68,65,15,4,4,8,14,-1,7,0,2,2,8,1,0,0,no
18014,"Michael Gergen",18,USA,USA,71,194,D,2005,61,65,66,56,50,106,104,0,0,0,0,0,0,0,0,0,no
8471260,"Blake Comeau",18,CAN,CAN,73,202,L,2004,47,65,75,10,23,33,129,13,21,4,2,6,29,0,245,3863,yes
8473525,"Theo Peckham",19,CAN,CAN,74,246,D,2006,75,65,67,6,9,15,236,-11,11,1,6,7,32,-3,160,2729,yes
8474625,"Jimmy Hayes",19,USA,USA,77,215,R,2008,60,65,58,8,24,32,30,15,8,4,5,9,8,5,168,2153,yes
14875,"Rob Bellamy",19,USA,USA,73,190,R,2004,92,66,39,19,25,44,120,0,0,0,0,0,0,0,0,0,no
8473468,"Eric Gryba",18,CAN,CAN,76,225,D,2006,68,66,56,3,12,15,205,13,3,1,1,2,27,-5,33,669,yes
8473999,"Nick Palmieri",18,USA,USA,75,220,R,2007,79,66,56,24,21,45,99,-24,0,0,0,0,0,0,87,1089,yes
8474609,"Luke Adam",18,CAN,CAN,74,207,C,2008,44,66,70,36,30,66,72,9,6,3,5,8,8,-1,90,1070,yes
11252,"Dalyn Flatt",19,Canada,CAN,75,214,D,2005,77,67,72,1,18,19,237,36,4,0,0,0,12,-3,0,0,no
12119,"Pierre-Luc Lessard",18,Canada,CAN,72,179,D,2006,121,67,55,7,25,32,38,7,17,2,10,12,12,3,0,0,no
8471290,"Peter Olvecky",19,SVK,EURO,74,220,L,2004,78,67,58,16,20,36,92,0,2,0,0,0,12,0,32,284,yes
8474074,"Paul Postma",18,CAN,CAN,75,195,D,2007,205,67,70,5,19,24,42,-19,6,0,1,1,0,-3,58,869,yes
9233,"Michal Birner",18,"Czech Rep.",EURO,72,201,L,2004,116,68,79,33,45,78,128,11,2,0,1,1,4,-1,0,0,no
10676,"John De Gray",18,Canada,CAN,76,216,D,2006,83,68,68,0,10,10,103,10,11,0,0,0,8,-6,0,0,no
8471310,"Dustin Boyd",18,CAN,CAN,72,187,C,2004,98,68,72,18,20,38,40,-5,10,2,2,4,8,0,220,2568,yes
8474090,"Brendan Smith",18,CAN,CAN,74,211,D,2007,27,68,39,12,24,36,90,0,16,6,14,20,30,0,119,2150,yes
12272,"Ryan Turek",19,USA,USA,71,185,D,2006,94,69,52,17,11,28,71,2,5,1,1,2,2,0,0,0,no
18028,"Jordan Foote",19,Canada,CAN,75,205,R,2004,169,69,58,23,26,49,73,0,24,3,7,10,37,0,0,0,no
19047,"Geordie Wudrick",18,Canada,CAN,75,223,L,2008,88,69,66,20,24,44,72,10,12,5,2,7,6,4,0,0,no
8471671,"Dustin Kohn",18,CAN,CAN,73,200,D,2005,46,69,71,8,35,43,61,18,12,0,4,4,6,0,22,255,yes
1255,"Fred Wikner",18,Sweden,EURO,73,198,R,2004,182,70,58,12,15,27,101,1,9,2,2,4,8,0,0,0,no
11308,"Max Gordichuk",18,Canada,CAN,78,216,D,2004,177,70,70,0,8,8,54,8,5,0,1,1,6,1,0,0,no
14401,"Drew Mackenzie",19,USA,USA,74,203,D,2007,209,70,24,3,13,16,0,0,0,0,0,0,0,0,0,0,no
19049,"Nathan Condon",18,USA,USA,72,181,C,2008,200,70,47,53,51,104,16,0,0,0,0,0,0,0,0,0,no
8471709,"Marc-Edouard Vlasic",18,CAN,CAN,73,205,D,2005,35,70,70,5,25,30,33,39,13,2,7,9,2,0,471,10507,yes
2020,"Patrik Zackrisson",20,Sweden,EURO,71,192,C,2007,165,71,52,22,21,43,60,18,0,0,0,0,0,0,0,0,no
11114,"Harrison Reed",18,Canada,CAN,73,187,R,2006,93,71,68,26,24,50,50,-31,0,0,0,0,0,0,0,0,no
12536,"Justin Mccrae",19,Canada,CAN,73,185,C,2007,102,71,61,16,33,49,98,-3,0,0,0,0,0,0,0,0,no
15018,"David Toews",18,Canada,CAN,70,181,C,2008,66,71,51,44,56,100,20,0,0,0,0,0,0,0,0,0,no
53546,"Mitch Maunu",18,Canada,CAN,73,225,D,2004,120,71,68,11,15,26,91,2,4,1,0,1,0,-8,0,0,no
8471786,"Ray Macias",19,USA,USA,74,195,D,2005,124,71,69,12,35,47,18,-15,2,0,0,0,0,0,8,138,yes
7571,"Vili Sopanen",20,Finland,EURO,75,218,R,2007,177,72,52,20,22,42,48,0,15,5,13,18,18,1,0,0,no
8470996,"Danny Syvret",20,CAN,CAN,72,205,D,2005,81,72,62,23,46,69,33,70,22,6,19,25,6,19,59,850,yes
8471268,"Victor Oreskovich",18,CAN,CAN,75,215,R,2004,55,72,58,11,26,37,33,3,0,0,0,0,0,0,66,570,yes
8473550,"Andrew Bodnarchuk",18,CAN,CAN,71,195,D,2006,128,72,68,6,17,23,136,11,11,0,2,2,22,-4,5,37,yes
8474046,"Alex Plante",18,CAN,CAN,76,230,D,2007,15,72,58,8,30,38,81,18,13,5,6,11,14,0,10,131,yes
8474613,"Derek Stepan",18,USA,USA,72,196,C,2008,51,72,60,44,67,111,22,0,0,0,0,0,0,0,362,6620,yes
1290,"Richard Demen Willaume",18,Sweden,EURO,75,223,D,2004,154,73,61,11,9,20,70,1,12,1,3,4,10,0,0,0,no
8394,"Max Warn",18,Finland,EURO,74,207,L,2006,150,73,52,14,20,34,69,8,7,4,2,6,6,0,0,0,no
11233,"James Delory",18,Canada,CAN,72,212,D,2006,98,73,67,6,26,32,136,-22,0,0,0,0,0,0,0,0,no
15314,"Will Engasser",19,USA,USA,74,225,L,2004,261,73,52,31,35,66,20,0,0,0,0,0,0,0,0,0,no
18243,"Taylor Stefishen",18,Canada,CAN,72,185,L,2008,136,73,57,33,48,81,71,0,0,0,0,0,0,0,0,0,no
8471703,"Steve Downie",18,CAN,CAN,71,191,R,2005,29,73,61,21,52,73,179,1,11,4,5,9,49,-5,272,3741,yes
15017,"David Carle",19,USA,USA,72,185,D,2008,203,74,61,13,38,51,61,0,0,0,0,0,0,0,0,0,no
8471246,"Chris Bourque",18,USA,USA,68,174,L,2004,33,74,31,37,53,90,96,0,0,0,0,0,0,0,33,314,yes
8471669,"Paul Stastny",20,CAN,CAN,72,202,C,2005,44,74,42,17,28,45,30,0,0,0,0,0,0,0,427,8515,yes
