#,PLAYER,TEAM,GP,G,A,TP,PPG,PIM,Plus/Minus
,,Lethbridge Hurricanes,52,0,7,7,0.13,70,-13
408,Brock Balson(RW),Kamloops Blazers,42,3,3,6,0.14,12,-9
409,Linden Springer(D),Prince George Cougars,56,3,3,6,0.11,89,-9
410,Evan Morden(D),Everett Silvertips,58,3,3,6,0.1,60,-21
,.,,,,,,,,
411,Josh Cowen(RW),Red Deer Rebels,25,2,4,6,0.24,49,-2
412,Lukas Kralik(C),Victoria Royals,42,2,4,6,0.14,35,-13
413,Cole Wedman(D),Spokane Chiefs,51,2,4,6,0.12,24,2
414,Austin Daae(LW),Prince George Cougars,52,2,4,6,0.12,19,-6
415,Stephen Hak(D),Red Deer Rebels,55,2,4,6,0.11,10,2
416,Josh Smith(D),Prince George Cougars,31,1,5,6,0.19,77,-15
417,Landon Cross(D),Kamloops Blazers,46,1,5,6,0.13,29,2
418,Jesse Knowler(LW),Prince Albert Raiders,57,1,5,6,0.11,16,-9
419,Spenser Jensen(D),Medicine Hat Tigers,42,0,6,6,0.14,37,1
420,Cole Benson(C),Edmonton Oil Kings,46,5,0,5,0.11,4,-8
421,Jason Trott(C/LW),Portland Winterhawks,36,4,1,5,0.14,36,-5
422,Trevor Cameron(RW),Swift Current Broncos,20,3,2,5,0.25,15,-16
423,Carter Proft(C/LW),totals,50,3,2,5,0.1,60,-1
,,Brandon Wheat Kings,13,1,0,1,0.08,10,1
,,Spokane Chiefs,37,2,2,4,0.11,50,-2
424,Carson Perreaux(LW/C),Prince Albert Raiders,43,2,3,5,0.12,13,-4
425,Trent Lofthouse(RW/C),Everett Silvertips,58,2,3,5,0.09,24,-21
426,Mitch Elliot(LW),Seattle Thunderbirds,65,2,3,5,0.08,92,-19
427,Zach Habscheid(D),Victoria Royals,41,1,4,5,0.12,31,-14
428,Vladimir Dolnik(LW),Everett Silvertips,27,0,5,5,0.19,20,-1
429,Jeff Hubic(LW/D),Kootenay Ice,53,0,5,5,0.09,75,-10
430,Mason Burr(RW),Red Deer Rebels,60,3,1,4,0.07,23,-8
431,Sebastian Svendsen(C/W),Moose Jaw Warriors,11,2,2,4,0.36,0,0
432,Tayler Thompson(C),Prince George Cougars,16,2,2,4,0.25,13,-15
433,Adam Rehak(LW),Medicine Hat Tigers,16,2,2,4,0.25,38,2
434,Max Moline(C),Lethbridge Hurricanes,21,2,2,4,0.19,2,-5
435,Shea Howorko(F),Swift Current Broncos,30,2,2,4,0.13,51,-13
436,Cason Machacek(D),Seattle Thunderbirds,50,2,2,4,0.08,135,-8
437,Jared Hauf(D),Seattle Thunderbirds,56,2,2,4,0.07,32,-32
438,Tyson Dallman(C),Tri-City Americans,38,1,3,4,0.11,25,0
439,Blake Orban(D),Vancouver Giants,43,1,3,4,0.09,67,4
440,Kyle Haas(D),Saskatoon Blades,46,1,3,4,0.09,106,-6
441,Devan Fafard(D),totals,48,1,3,4,0.08,87,-18
,,Saskatoon Blades,23,0,2,2,0.09,38,-14
,,Red Deer Rebels,25,1,1,2,0.08,49,-4
442,Spencer Wand(D),Kootenay Ice,52,1,3,4,0.08,98,-13
443,Mike Simpson(D),Kootenay Ice,52,1,3,4,0.08,52,-3
444,Austin Ferguson(RW/C),Kelowna Rockets,56,1,3,4,0.07,8,-13
445,Chance Braid(LW),Prince Albert Raiders,62,1,3,4,0.06,54,-17
446,Evan Wardley(D),Seattle Thunderbirds,29,0,4,4,0.14,43,-15
447,Justin Hamonic(D),Tri-City Americans,39,0,4,4,0.1,20,-2
