#,PLAYER,TEAM,GP,G,A,TP,PPG,PIM,#ERROR!
111,Patrick Bajkov(LW/RW),Everett Silvertips,71,18,28,46,0.65,22,9
112,Jason Fram(D),Spokane Chiefs,55,12,34,46,0.84,22,5
113,Maxwell Gerlach(C),Medicine Hat Tigers,72,30,15,45,0.63,24,-27
114,Luke Philp(C),totals,39,21,24,45,1.15,36,0
,,Kootenay Ice,22,13,16,29,1.32,30,-7
,,Red Deer Rebels,17,8,8,16,0.94,6,7
115,Wyatt Sloboshan(LW),Saskatoon Blades,66,19,25,44,0.67,26,-38
116,Michael Rasmussen(C),Tri-City Americans,63,18,25,43,0.68,37,4
117,Scott Eansor(C/LW),Seattle Thunderbirds,55,12,30,42,0.76,59,10
118,Jayden Halbgewachs(C),Moose Jaw Warriors,69,15,26,41,0.59,4,-1
119,Kole Lind(RW),Kelowna Rockets,70,14,27,41,0.59,54,14
120,Jesse Zaharichuk(RW),totals,60,12,29,41,0.68,8,-27
,,Kamloops Blazers,17,4,9,13,0.76,2,5
,,Kootenay Ice,43,8,20,28,0.65,6,-32
121,Jerret Smith(D),Seattle Thunderbirds,66,9,32,41,0.62,48,10
122,Alec Baer(C),Vancouver Giants,68,19,20,39,0.57,24,-27
123,Donovan Neuls(C),Seattle Thunderbirds,71,14,25,39,0.55,27,0
124,Jake Kryski(LW/C),Kamloops Blazers,67,12,27,39,0.58,34,-4
125,Dawson Davidson(D),Kamloops Blazers,59,6,33,39,0.66,32,11
126,Grayson Pawlenchuk(C/LW),Red Deer Rebels,71,22,16,38,0.54,14,19
127,Carter Popoff(C),Vancouver Giants,65,12,26,38,0.58,36,-16
128,Chase Harrison(D),Regina Pats,72,8,30,38,0.53,12,17
129,Lane Zablocki(C),Regina Pats,72,18,19,37,0.51,95,-5
130,Jared Bethune(C),Prince George Cougars,72,16,21,37,0.51,56,8
131,Presten Kopeck(C),totals,68,11,26,37,0.54,31,-8
,,Red Deer Rebels,37,5,13,18,0.49,19,0
,,Spokane Chiefs,31,6,13,19,0.61,12,-8
132,Ty Stanton(D),Medicine Hat Tigers,67,5,32,37,0.55,66,-9
133,Braylon Shmyr(LW),totals,62,17,19,36,0.58,14,3
,,Brandon Wheat Kings,28,8,8,16,0.57,4,18
,,Saskatoon Blades,34,9,11,20,0.59,10,-15
134,Jordy Bellerive(C),Lethbridge Hurricanes,65,11,25,36,0.55,75,16
