@relation 'QueryResult-weka.filters.unsupervised.attribute.Remove-R1-2,4,9,24-26-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0'

@attribute DraftAge numeric
@attribute country_group {USA,CAN,EURO}
@attribute Height numeric
@attribute Weight numeric
@attribute Position {D,L,C,R}
@attribute CSS_rank numeric
@attribute rs_GP numeric
@attribute rs_G numeric
@attribute rs_A numeric
@attribute rs_P numeric
@attribute rs_PIM numeric
@attribute rs_PlusMinus numeric
@attribute po_GP numeric
@attribute po_G numeric
@attribute po_A numeric
@attribute po_P numeric
@attribute po_PIM numeric
@attribute po_PlusMinus numeric
@attribute sum_7yr_GP numeric

@data
0.111111,USA,0.625,0.4,D,0.044355,0.513158,0.051282,0.148148,0.102703,0.14966,0.504587,0.428571,0,0.125,0.065217,0.321429,0.384615,74
0.222222,USA,0.4375,0.411765,C,?,0.631579,0.141026,0.166667,0.151351,0.210884,0.321101,?,?,?,?,?,?,77
0,CAN,0.5625,0.647059,R,0.915323,0.776316,0.089744,0.064815,0.07027,0.268707,0.311927,0.785714,0.090909,0.166667,0.130435,0.767857,0.230769,88
0.111111,CAN,0.75,0.552941,R,0.076613,0.736842,0.282051,0.157407,0.205405,0.255102,0.275229,0.035714,0,0,0,0.035714,0.115385,90
0,USA,0.6875,0.505882,D,0.084677,0.355263,0.025641,0.083333,0.054054,0.034014,0.412844,?,?,?,?,?,?,98
0.111111,CAN,0.75,0.588235,D,0.197581,0.697368,0,0.055556,0.027027,0.326531,0.385321,0.5,0,0.125,0.065217,0.464286,0.115385,98
0.111111,CAN,0.625,0.541176,C,0.129032,0.828947,0.179487,0.314815,0.254054,0.265306,0.449541,0.142857,0.090909,0.208333,0.152174,0.142857,0.230769,99
0,CAN,0.6875,0.329412,D,0.028226,0.881579,0.025641,0.138889,0.086486,0.142857,0.40367,0.107143,0,0.041667,0.021739,0.071429,0.192308,106
0,EURO,0.6875,0.341176,D,0.068548,0.75,0.038462,0.083333,0.059459,0.312925,0.357798,0.392857,0,0,0,0.392857,0.230769,106
0.111111,CAN,0.625,0.470588,C,0.431452,0.394737,0.307692,0.185185,0.232432,0.081633,0.357798,?,?,?,?,?,?,106
