@relation 'QueryResult-weka.filters.unsupervised.attribute.Remove-R1-2,4,9,24-26'

@attribute DraftAge numeric
@attribute country_group {CAN,EURO,USA}
@attribute Height numeric
@attribute Weight numeric
@attribute Position {D,R,C,L}
@attribute CSS_rank numeric
@attribute rs_GP numeric
@attribute rs_G numeric
@attribute rs_A numeric
@attribute rs_P numeric
@attribute rs_PIM numeric
@attribute rs_PlusMinus numeric
@attribute po_GP numeric
@attribute po_G numeric
@attribute po_A numeric
@attribute po_P numeric
@attribute po_PIM numeric
@attribute po_PlusMinus numeric
@attribute sum_7yr_GP numeric

@data
19,EURO,73,190,L,1,65,26,27,53,24,0,13,4,8,12,14,0,397
19,EURO,74,183,C,2,63,15,28,43,46,0,13,2,8,10,6,0,400
19,EURO,74,205,C,1,33,11,24,35,26,0,?,?,?,?,?,?,414
18,CAN,76,224,R,182,62,0,2,2,142,0,4,0,0,0,12,0,1
20,EURO,74,192,L,55,52,13,16,29,49,0,4,3,4,7,0,0,1
19,CAN,74,174,D,106,46,3,20,23,152,0,?,?,?,?,?,?,2
18,EURO,77,200,L,19,53,24,17,41,10,0,?,?,?,?,?,?,2
20,USA,72,195,D,209,39,2,5,7,28,0,?,?,?,?,?,?,3
20,USA,72,205,C,121,57,24,34,58,19,0,13,5,5,10,4,0,3
18,EURO,75,202,C,?,46,17,30,47,32,0,6,3,5,8,2,0,3
19,CAN,73,191,R,40,60,23,34,57,69,0,7,3,4,7,12,0,4
18,CAN,74,206,C,13,70,21,28,49,72,0,12,1,6,7,4,0,4
19,USA,73,200,R,47,38,15,12,27,12,0,?,?,?,?,?,?,5
19,USA,75,236,L,76,61,8,12,20,81,0,4,0,0,0,4,0,5
22,EURO,71,176,C,?,60,9,9,18,24,0,9,1,5,6,16,0,5
18,USA,73,222,D,127,68,2,11,13,89,0,30,0,6,6,48,0,6
18,EURO,73,198,D,11,45,16,22,38,56,0,2,0,0,0,0,0,8
18,CAN,74,216,D,170,62,0,14,14,36,0,4,0,1,1,4,0,8
19,EURO,75,214,D,30,71,2,12,14,114,0,12,0,2,2,24,0,8
19,EURO,78,238,L,73,47,0,6,6,124,0,?,?,?,?,?,?,9
19,CAN,73,205,L,?,68,23,45,68,53,0,?,?,?,?,?,?,9
18,CAN,73,200,C,35,67,31,61,92,14,0,6,1,2,3,2,0,10
20,EURO,70,185,C,?,40,5,7,12,24,0,?,?,?,?,?,?,10
18,EURO,75,235,C,?,45,11,11,22,22,0,3,0,0,0,0,0,13
27,EURO,72,185,L,?,61,26,26,52,26,0,3,0,1,1,6,0,13
19,CAN,69,180,C,75,75,51,88,139,14,0,16,10,14,24,4,0,13
18,EURO,74,197,L,9,31,15,13,28,28,0,2,1,0,1,2,0,14
20,EURO,75,210,D,74,50,7,3,10,30,0,3,0,0,0,2,0,16
18,USA,75,207,C,21,64,16,22,38,63,0,19,3,6,9,24,0,17
19,EURO,71,190,L,16,64,36,28,64,37,0,17,7,6,13,6,0,17
18,EURO,72,203,D,33,47,7,32,39,70,0,7,1,4,5,5,0,17
18,CAN,72,192,C,39,57,17,38,55,70,0,4,0,1,1,6,0,17
18,EURO,72,200,R,?,38,23,10,33,0,0,?,?,?,?,?,?,18
18,EURO,72,195,R,34,71,22,28,50,37,0,?,?,?,?,?,?,18
24,EURO,70,179,L,?,52,20,28,48,72,0,5,2,0,2,10,0,19
20,CAN,70,186,D,?,71,26,62,88,156,0,11,2,4,6,17,0,21
