@relation 'QueryResult-weka.filters.unsupervised.attribute.Remove-R1-2,4,9,24-26'

@attribute DraftAge numeric
@attribute country_group {USA,CAN,EURO}
@attribute Height numeric
@attribute Weight numeric
@attribute Position {D,L,C,R}
@attribute CSS_rank numeric
@attribute rs_GP numeric
@attribute rs_G numeric
@attribute rs_A numeric
@attribute rs_P numeric
@attribute rs_PIM numeric
@attribute rs_PlusMinus numeric
@attribute po_GP numeric
@attribute po_G numeric
@attribute po_A numeric
@attribute po_P numeric
@attribute po_PIM numeric
@attribute po_PlusMinus numeric
@attribute sum_7yr_GP numeric

@data
18,USA,73,206,D,22,61,2,12,14,76,0,?,?,?,?,?,?,31
18,CAN,76,225,D,66,56,3,12,15,205,13,3,1,1,2,27,-5,33
18,CAN,72,205,D,35,68,6,24,30,200,0,4,1,1,2,8,0,34
19,EURO,71,210,C,34,59,8,12,20,169,0,16,3,4,7,32,0,42
18,USA,75,188,D,12,68,14,51,65,44,0,11,5,10,15,4,0,45
18,EURO,71,190,L,22,43,15,15,30,32,0,5,0,2,2,2,0,46
18,CAN,73,195,C,44,76,30,37,67,62,17,6,3,5,8,0,1,47
20,USA,73,195,C,?,33,2,2,4,12,0,?,?,?,?,?,?,51
18,USA,73,190,C,33,60,19,27,46,76,0,?,?,?,?,?,?,55
19,USA,77,228,L,112,57,10,10,20,176,0,13,5,2,7,29,0,57
19,EURO,76,213,L,18,51,4,8,12,57,0,14,0,2,2,12,0,67
18,EURO,73,205,R,11,52,17,23,40,90,0,1,0,0,0,0,0,82
18,CAN,72,200,C,27,72,20,33,53,121,10,13,3,4,7,18,-6,89
18,EURO,72,213,L,?,45,8,17,25,32,0,?,?,?,?,?,?,91
19,USA,71,195,R,90,42,16,9,25,36,0,?,?,?,?,?,?,96
18,CAN,72,191,C,10,73,27,65,92,34,37,6,2,0,2,6,-4,121
20,USA,71,188,R,?,36,6,28,34,32,0,?,?,?,?,?,?,155
19,USA,75,204,D,36,81,8,35,43,92,6,11,2,5,7,8,8,156
18,CAN,70,188,C,202,62,18,34,52,42,20,17,10,11,21,8,3,159
19,CAN,74,246,D,65,67,6,9,15,236,-11,11,1,6,7,32,-3,160
19,USA,74,217,D,34,68,5,21,26,181,17,7,0,0,0,12,-3,174
19,EURO,73,196,R,60,58,29,30,59,16,13,14,6,9,15,6,2,183
19,USA,73,201,C,30,56,35,40,75,69,25,11,3,13,16,16,9,203
18,USA,73,180,D,84,61,11,30,41,41,0,?,?,?,?,?,?,206
18,CAN,72,203,L,46,68,20,21,41,156,0,6,1,2,3,10,3,209
18,CAN,69,181,L,80,68,29,37,66,83,40,25,7,16,23,36,11,218
19,EURO,73,185,R,15,67,36,14,50,28,0,?,?,?,?,?,?,219
20,CAN,73,204,D,234,68,6,40,46,62,22,26,2,12,14,12,9,232
20,EURO,75,209,L,?,41,27,26,53,89,0,7,6,5,11,6,0,243
18,CAN,76,231,L,62,74,14,21,35,44,-9,6,3,0,3,2,-1,253
18,CAN,73,215,C,9,66,30,54,84,78,3,9,2,5,7,12,1,256
18,CAN,73,205,L,42,72,28,32,60,123,-11,6,2,2,4,4,-3,268
18,EURO,72,205,L,3,50,11,5,16,53,0,6,7,6,13,6,0,276
18,EURO,76,198,C,6,32,15,12,27,28,0,?,?,?,?,?,?,279
20,CAN,72,192,R,125,68,25,23,48,279,14,13,8,4,12,53,0,280
18,USA,74,204,C,6,52,26,32,58,44,4,15,7,6,13,10,4,297
18,USA,72,218,R,11,50,27,31,58,56,28,11,5,11,16,8,12,319
19,CAN,74,239,R,8,62,37,50,87,118,19,6,2,0,2,13,-5,319
19,CAN,73,204,C,4,58,44,72,116,92,19,7,5,4,9,10,-1,322
18,USA,76,225,D,1,53,20,39,59,115,0,?,?,?,?,?,?,329
18,CAN,71,185,C,38,69,39,64,103,64,30,17,5,15,20,24,-3,333
19,CAN,71,218,R,24,66,35,33,68,139,-17,?,?,?,?,?,?,346
18,EURO,73,194,R,2,51,3,9,12,32,0,6,3,9,12,6,0,349
20,EURO,73,225,L,25,31,5,7,12,8,0,11,2,4,6,6,0,351
18,EURO,76,223,C,8,48,20,13,33,42,0,?,?,?,?,?,?,358
19,USA,72,205,L,19,65,24,46,70,146,19,10,1,3,4,28,0,396
19,CAN,72,191,C,7,64,42,67,109,99,26,14,8,15,23,19,7,404
18,CAN,75,236,L,58,62,9,10,19,149,4,23,3,4,7,56,7,405
18,CAN,74,201,C,3,42,22,17,39,22,0,?,?,?,?,?,?,408
19,EURO,73,213,C,1,50,10,16,26,30,0,1,0,0,0,2,0,413
18,CAN,76,220,C,2,68,28,40,68,69,16,23,10,7,17,22,7,479
19,USA,72,202,R,5,46,19,34,53,30,0,?,?,?,?,?,?,504
