@relation 'QueryResult-weka.filters.unsupervised.attribute.Remove-R1-2,8-9,24-25'

@attribute DraftAge_norm numeric
@attribute country_group {EURO,CAN,USA}
@attribute Height_norm numeric
@attribute Weight_norm numeric
@attribute Position {D,C,L,R}
@attribute CSS_rank_norm numeric
@attribute rs_GP_norm numeric
@attribute rs_G_norm numeric
@attribute rs_A_norm numeric
@attribute rs_P_norm numeric
@attribute rs_PIM_norm numeric
@attribute rs_PlusMinus_norm numeric
@attribute po_GP_norm numeric
@attribute po_G_norm numeric
@attribute po_A_norm numeric
@attribute po_P_norm numeric
@attribute po_PIM_norm numeric
@attribute po_PlusMinus_norm numeric
@attribute sum_7yr_GP numeric

@data
0,EURO,0.5,0.336634,C,0.084677,0.46,0.179487,0.263636,0.228723,0.013605,0.357798,0.344828,0.318182,0.333333,0.369565,0.058824,0.310345,1
0,USA,0.5625,0.514851,D,0.084677,0.61,0.025641,0.109091,0.074468,0.258503,0.357798,0,0,0,0,0,0.310345,31
0,EURO,0.4375,0.356436,L,0.084677,0.43,0.192308,0.136364,0.159574,0.108844,0.357798,0.172414,0,0.066667,0.043478,0.029412,0.310345,46
0,CAN,0.75,0.60396,D,0.08871,0.46,0.038462,0.1,0.074468,0.102041,0.357798,0,0,0,0,0,0.310345,5
0.111111,CAN,0.4375,0.633663,R,0.092742,0.66,0.448718,0.3,0.361702,0.472789,0.201835,0,0,0,0,0,0.310345,346
0,USA,0.5625,0.465347,R,0.096774,0.3,0.051282,0.036364,0.042553,0.108844,0.357798,0,0,0,0,0,0.310345,3
0.222222,EURO,0.5625,0.386139,D,0.096774,0.61,0.089744,0.072727,0.079787,0.102041,0.357798,0.275862,0,0.033333,0.021739,0.058824,0.310345,150
0,EURO,0.5,0.376238,C,0.096774,0.27,0.128205,0.145455,0.138298,0.068027,0.357798,0.172414,0.045455,0.033333,0.043478,0.029412,0.310345,43
0,USA,0.625,0.633663,L,0.096774,0.6,0.346154,0.227273,0.276596,0.292517,0.541284,0.37931,0,0.133333,0.086957,0.117647,0.413793,209
0.222222,EURO,0.5625,0.70297,L,0.096774,0.31,0.064103,0.063636,0.06383,0.027211,0.357798,0.37931,0.090909,0.133333,0.130435,0.088235,0.310345,351
0,EURO,0.375,0.425743,L,0.100806,0.59,0.205128,0.2,0.202128,0.482993,0.357798,0.241379,0.045455,0.166667,0.130435,0,0.310345,272
0.111111,USA,0.625,0.405941,R,0.100806,0.59,0.25641,0.272727,0.265957,0.139456,0.376147,0.482759,0.136364,0.133333,0.152174,0.294118,0.241379,9
0.111111,USA,0.75,0.554455,D,0.100806,0.39,0.192308,0.236364,0.218085,0.146259,0.385321,0.310345,0,0.033333,0.021739,0.088235,0.310345,1
0.222222,USA,0.5,0.574257,L,0.104839,0.36,0.102564,0.1,0.101064,0.108844,0.357798,0,0,0,0,0,0.310345,303
