rank,age,nationality,name,pos,GP,G,A,P,PIM,plusMinus,PPG,SHG,GWG,GGP,AGP,PGP
683,27,CA,Brett Bellemore,D,56,1,5,6,41,1,0,0,,0.018,0.089,0.107
684,30,CA,Pierre-Luc Letourneau-Leblond,F,52,1,5,6,131,-2,0,0,,0.019,0.096,0.115
685,23,CA,Maxim Lamarche,D,29,1,5,6,21,-4,1,0,,0.034,0.172,0.207
686,27,CA,Alex Biega,D,14,1,5,6,8,2,0,0,,0.071,0.357,0.429
687,26,CA,Sam Gagner,F,9,1,5,6,4,3,0,0,,0.111,0.556,0.667
688,33,CA,Joey Mormina,D,50,0,6,6,60,-2,0,0,,0,0.12,0.12
689,23,US,Ty Loney,F,31,0,6,6,7,-6,0,0,,0,0.194,0.194
690,26,US,Michael Sdao,D,29,0,6,6,53,-4,0,0,,0,0.207,0.207
691,27,CA,Justin Hodgman,F,15,0,6,6,21,3,0,0,,0,0.4,0.4
692,22,CA,Dylan Demelo,D,15,0,6,6,2,0,0,0,,0,0.4,0.4
693,24,CA,Ben Sexton,F,29,4,1,5,45,-13,1,2,,0.138,0.034,0.172
694,24,US,Derek DeBlois,F,35,3,2,5,23,-4,0,0,,0.086,0.057,0.143
695,26,SE,Joakim Andersson,F,19,3,2,5,2,2,0,1,,0.158,0.105,0.263
