player_id,jersey_no,first_name,last_name,team_id,games_played,total_ice_time,ev_icetime,goals,primary_assists,secondary_assists,ev_goals,ev_primary_assists,ev_secondary_assists,shots,ev_shots,passes,ev_passes,ze_controlled_entry,ze_uncontrolled_entry,ze_controlled_exit,ze_uncontrolled_exit,penalties_taken,penalties_drawn,team_ev_shots_for,team_ev_shots_against
354,4,Evan,McEneny,UTI,18,6:09:26,4:26:02,3,3,0,0,2,0,81,54,370,276,10,58,72,60,5,5,241,255
466,37,Mac,Bennett,RCH,21,6:08:57,4:57:57,0,1,1,0,1,1,55,48,339,292,12,45,64,34,4,2,242,333
162,11,Zach,Sill,HER,28,6:08:52,4:33:42,6,1,3,0,0,1,48,32,251,162,13,47,28,35,6,5,174,222
160,20,Liam,OBrien,HER,28,6:08:43,4:20:23,6,10,2,0,6,0,57,50,266,171,40,49,35,22,14,8,213,182
440,15,Chris,Rumble,BNG,21,6:07:44,4:44:57,4,3,6,0,2,5,110,95,549,455,27,68,112,37,3,5,328,273
273,92,Joël,Vermin,SYR,20,6:07:14,4:02:17,7,4,1,0,3,1,74,53,330,231,71,40,58,31,3,4,272,176
192,29,Dryden,Hunt,SPR,25,6:06:01,5:00:50,3,2,2,0,2,1,85,68,270,205,59,63,63,32,7,5,295,230
92,93,Peter,Mueller,PRO,24,6:06:01,4:52:05,4,4,2,0,3,2,73,65,368,301,46,39,39,23,8,3,367,242
491,19,Alexander,Nylander,RCH,23,6:05:09,4:45:13,4,2,3,0,2,2,60,50,387,285,44,38,53,23,2,5,252,246
478,13,Nick,Baptiste,RCH,21,6:04:54,4:32:03,7,1,1,0,0,1,99,80,317,235,82,40,58,22,6,5,270,237
49,9,Cole,Bardreau,LV,27,6:04:37,4:50:01,6,2,2,0,0,1,41,33,228,167,31,53,43,26,6,7,200,266
58,18,Danick,Martel,LV,27,6:01:44,5:11:28,6,8,3,0,8,2,96,72,205,150,48,74,46,29,11,15,275,212
55,14,Corban,Knight,LV,25,6:01:29,4:27:22,3,8,4,0,7,2,61,44,222,162,35,69,48,30,4,2,206,250
392,40,Garret,Sparks,TOR,6,6:00:34,4:33:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,269,245
6,4,Tim,Erixon,WIL,19,6:00:07,4:12:15,4,4,2,0,3,1,97,76,434,367,8,43,58,64,3,3,348,290
47,44,Reece,Willcox,LV,20,5:57:18,4:54:22,2,1,3,0,0,2,35,29,300,228,15,51,59,52,4,0,239,266
423,36,Kerby,Rychel,TOR,24,5:56:59,4:35:04,3,10,3,0,6,3,100,70,297,211,32,37,29,23,6,7,305,160
453,16,Chad,Nehring,BNG,21,5:55:44,4:08:44,3,2,2,0,2,2,55,43,227,175,37,63,36,37,4,5,238,323
188,11,Shane,Harper,SPR,21,5:54:28,4:29:04,5,2,5,0,1,5,53,38,391,286,31,39,34,27,5,4,252,218
191,24,Ryan,Horvat,SPR,23,5:53:37,4:30:22,3,3,2,0,2,1,55,47,248,182,32,63,53,36,11,7,211,276
