rank,age,nationality,name,pos,GP,G,A,P,PIM,plusMinus,PPG,SHG,GWG,GGP,AGP,PGP
382,18,CA,Mason McDonald,G,56,0,3,3,4,,0,0,0,0,0.054,0.054
383,20,CA,Sebastien Auger,G,50,0,3,3,4,,0,0,0,0,0.06,0.06
384,19,CA,Chase Marchand,G,48,0,3,3,0,,0,0,0,0,0.063,0.063
385,20,CA,Brandon Whitney,G,25,0,3,3,0,,0,0,0,0,0.12,0.12
386,19,CA,Simon Boudreau,D,22,0,3,3,22,7,0,0,0,0,0.136,0.136
387,16,CA,Domenico Argento,D,21,0,3,3,2,-3,0,0,0,0,0.143,0.143
388,16,CA,Yan Dion,F,21,0,3,3,6,0,0,0,0,0,0.143,0.143
389,20,CA,Felix-Antoine Bergeron,F,4,0,3,3,4,0,0,0,0,0,0.75,0.75
390,16,CA,Lucas Thierus,F,28,2,0,2,8,-1,0,0,0,0.071,0,0.071
391,18,CA,Marc-Olivier Crevier-Morin,D,15,2,0,2,15,-3,0,0,0,0.133,0,0.133
392,17,CA,Patrice Demuy,F,43,1,1,2,22,-7,0,0,0,0.023,0.023,0.047
393,19,CA,Justin Vachon,F,41,1,1,2,78,-12,0,0,1,0.024,0.024,0.049
394,17,CA,Morgan Adams-Moisan,F,32,1,1,2,67,-3,0,0,0,0.031,0.031,0.063
395,16,CA,Yan Plourde,F,30,1,1,2,8,-11,0,0,0,0.033,0.033,0.067
396,17,CA,Trevor Bush,F,23,1,1,2,2,-7,0,0,1,0.043,0.043,0.087
397,17,CA,Christopher Cochrane,F,18,1,1,2,6,-3,0,0,0,0.056,0.056,0.111
398,18,CA,Zack MacEwen,F,9,1,1,2,6,2,0,0,0,0.111,0.111,0.222
399,17,CA,Mathieu Nadeau,F,7,1,1,2,2,2,0,0,0,0.143,0.143,0.286
400,19,CA,Anthony Patriarco,F,2,1,1,2,0,2,0,0,0,0.5,0.5,1
401,18,CA,Julio Billia,G,56,0,2,2,2,,0,0,0,0,0.036,0.036
402,18,CA,Alexander McQuaid,D,54,0,2,2,84,11,0,0,0,0,0.037,0.037
403,17,CA,Giancarlo Fiori,D,46,0,2,2,18,2,0,0,0,0,0.043,0.043
404,18,CA,Alex Bureau,G,42,0,2,2,0,,0,0,0,0,0.048,0.048
405,16,CA,Matt Sartoris,D,39,0,2,2,15,-6,0,0,0,0,0.051,0.051
406,18,CA,Keven Bouchard,G,36,0,2,2,0,,0,0,0,0,0.056,0.056
407,18,CA,Nicolas Hebert,F,32,0,2,2,4,-6,0,0,0,0,0.063,0.063
408,18,CA,Beau Rusk,D,30,0,2,2,52,14,0,0,0,0,0.067,0.067
409,16,CA,Jimmy Huntington,F,29,0,2,2,2,-14,0,0,0,0,0.069,0.069
410,19,CA,Zack McFadden,D,29,0,2,2,4,0,0,0,0,0,0.069,0.069
411,18,CA,Bruno-Carl Denis,D,28,0,2,2,10,-1,0,0,0,0,0.071,0.071
412,17,CA,Jeremy Belisle,G,23,0,2,2,0,,0,0,0,0,0.087,0.087
413,18,CA,Gabriel Paquin,F,10,0,2,2,0,-1,0,0,0,0,0.2,0.2
414,17,CA,Joachim Vachon,F,7,0,2,2,2,2,0,0,0,0,0.286,0.286
415,18,CA,Benji Curtis,F,7,0,2,2,7,3,0,0,0,0,0.286,0.286
416,18,CA,Matthew Cusson,F,6,0,2,2,7,-1,0,0,0,0,0.333,0.333
417,18,SK,Juraj Mily,F,19,1,0,1,0,-8,1,0,0,0.053,0,0.053
418,19,CA,Philippe Raymond,F,18,1,0,1,7,-5,0,0,0,0.056,0,0.056
419,16,CA,Anthony Beauchamp,F,14,1,0,1,4,-6,0,0,1,0.071,0,0.071
420,18,CA,Chris Cobham,F,12,1,0,1,9,-1,0,0,0,0.083,0,0.083
421,18,CA,Mario Duquette,F,12,1,0,1,19,-3,0,0,0,0.083,0,0.083
422,16,CA,Matteo Pietroniro,D,10,1,0,1,4,1,0,0,0,0.1,0,0.1
423,17,CA,William Blackburn,F,5,1,0,1,0,-1,0,0,0,0.2,0,0.2
424,17,CA,Felix Paquet,F,4,1,0,1,8,-2,0,0,0,0.25,0,0.25
425,17,CA,Peter Woulds,F,4,1,0,1,7,-1,1,0,0,0.25,0,0.25
426,18,CA,Nathan Yetman,F,2,1,0,1,0,1,0,0,0,0.5,0,0.5
427,18,CA,Drew Gross,F,2,1,0,1,2,1,0,1,0,0.5,0,0.5
428,19,CA,Philippe Cadorette,G,63,0,1,1,6,,0,0,0,0,0.016,0.016
429,20,CA,Alex Dubeau,G,58,0,1,1,8,,0,0,0,0,0.017,0.017
430,18,CA,Samuel Montembeault,G,52,0,1,1,2,,0,0,0,0,0.019,0.019
431,19,CA,Philippe Desrosiers,G,44,0,1,1,0,,0,0,0,0,0.023,0.023
432,19,CA,Alexandre Belanger,G,38,0,1,1,2,,0,0,0,0,0.026,0.026
433,19,CA,Louis-Philippe Guindon,G,37,0,1,1,0,,0,0,0,0,0.027,0.027
434,17,CA,Johnny Jones,F,36,0,1,1,4,2,0,0,0,0,0.028,0.028
435,20,CA,Jacob Brennan,G,32,0,1,1,2,,0,0,0,0,0.031,0.031
