"id";"PlayerName";"DraftAge";"country_group";"Height";"Weight";"Position";"DraftYear";"Overall";"CSS_rank";"rs_GP";"rs_G";"rs_A";"rs_P";"rs_PIM";"rs_PlusMinus";"po_GP";"po_G";"po_A";"po_P";"po_PIM";"po_PlusMinus";"sum_7yr_GP";"GP_greater_than_0";"sum_wk_xk";"class_0_prob";"LeafNode"
"26096";"Jonathan Gagnon";"18";"CAN";"73";"198";"L";"1998";"181";"92";"69";"15";"26";"41";"79";"0";"4";"2";"3";"5";"12";"-1";"0";"no";"11.968211";"0.000006342628137710166";"1"
"26590";"Thierry Douville";"18";"CAN";"77";"231";"D";"2001";"208";"176";"65";"0";"4";"4";"408";"-1";"11";"0";"0";"0";"16";"-3";"0";"no";"12.909331000000002";"0.0000024748433055261395";"1"
"30696";"Brent Hobday";"19";"CAN";"72";"185";"L";"1998";"111";"92";"68";"21";"22";"43";"122";"-17";"4";"2";"0";"2";"4";"-2";"0";"no";"12.063274";"0.000005767454318279322";"1"
"39663";"Chris Petrow";"18";"CAN";"75";"198";"D";"2002";"267";"64";"60";"8";"28";"36";"81";"1";"5";"0";"2";"2";"0";"-2";"0";"no";"12.108552000000003";"0.000005512140624473005";"1"
"42142";"Jason Metcalfe";"20";"CAN";"73";"203";"D";"1998";"232";"92";"66";"2";"21";"23";"270";"28";"5";"0";"1";"1";"8";"-3";"0";"no";"12.226459";"0.000004899076210512716";"1"
"47837";"Ken Davis";"18";"CAN";"76";"214";"R";"1999";"266";"96";"72";"13";"14";"27";"76";"-18";"4";"0";"1";"1";"11";"-5";"0";"no";"11.915356000000003";"0.0000066868831656691155";"1"
"50374";"George Davis";"19";"CAN";"74";"236";"R";"2002";"140";"120";"46";"4";"1";"5";"274";"2";"16";"1";"2";"3";"18";"-1";"0";"no";"12.093728";"0.000005594460789529986";"1"
"51896";"Ian Jacobs";"18";"CAN";"76";"234";"D";"1998";"203";"92";"61";"7";"8";"15";"23";"5";"10";"0";"0";"0";"4";"-2";"0";"no";"11.962211000000002";"0.0000063807980589643075";"1"
"55441";"Aaron Gionet";"18";"CAN";"74";"205";"D";"2000";"191";"89";"68";"5";"6";"11";"243";"8";"4";"0";"0";"0";"8";"-1";"0";"no";"12.502091000000002";"0.0000037188550516734668";"1"
"55443";"Miguel Delisle";"18";"CAN";"73";"201";"R";"2000";"100";"59";"54";"20";"29";"49";"73";"13";"11";"4";"1";"5";"28";"-1";"0";"no";"11.967074";"0.000006349843761415142";"1"
"57268";"Jeff Feniak";"18";"CAN";"76";"209";"D";"1999";"119";"71";"39";"1";"4";"5";"81";"14";"17";"0";"1";"1";"16";"-3";"0";"no";"12.245138";"0.000004808416161485533";"1"
"57296";"Daniel Volrab";"18";"EURO";"73";"187";"L";"2001";"126";"56";"60";"13";"10";"23";"34";"17";"2";"1";"0";"1";"0";"-1";"0";"no";"12.181971";"0.000005121945954108283";"1"
