id,PlayerName,DraftAge,country_group,Height,Weight,Position,DraftYear,Overall,CSS_rank,rs_GP,rs_G,rs_A,rs_P,rs_PIM,rs_PlusMinus,po_GP,po_G,po_A,po_P,po_PIM,po_PlusMinus,sum_7yr_GP,GP_greater_than_0,sum_wk_xk,class_0_prob,LeafNode
18313,"Louis Mandeville",18,CAN,75,236,D,2000,292,211,50,5,11,16,31,2,11,2,1,3,4,2,0,no,82.46560999999998,1.5333476439368192e-36,4
18314,"Milan Kopecky",19,EURO,72,183,C,2000,287,211,38,17,7,24,24,10,7,5,3,8,0,7,0,no,288.325515,6.050898160164549e-126,4
18321,"David Hajek",20,EURO,75,205,D,2000,239,86,41,3,12,15,34,9,12,1,3,4,10,1,0,no,47.205991,3.1528157828815988e-21,4
18348,"Vladislav Luchkin",18,EURO,73,212,C,2000,225,18,36,25,10,35,40,3,0,0,0,0,0,0,0,no,8.039695999999998,0.00032230303419737374,4
18374,"Igor Samoilov",18,EURO,72,194,D,2000,217,29,42,0,4,4,34,5,0,0,0,0,0,0,0,no,11.465446,0.000010486136713398012,4
18377,"Yevgeni Fyodorov",20,EURO,70,196,C,2000,201,211,44,6,9,15,24,6,3,0,1,1,4,0,0,no,5.817888999999998,0.0029650586582995013,4
18378,"Paul Ballantyne",18,CAN,75,201,D,2000,196,60,58,4,15,19,60,17,17,2,3,5,17,8,0,no,325.499742,4.337686776257188e-142,4
18379,"Colin Shields",20,EURO,71,181,C,2000,195,211,59,50,54,104,44,4,3,1,3,4,2,0,0,no,2.076001999999997,0.11145127359717165,4
18506,"Yuri Dobryshkin",20,EURO,72,187,L,1999,159,18,57,16,7,23,86,4,0,0,0,0,0,0,0,no,9.838755999999998,0.00005334078394394314,4
18536,"Mikhail Donika",20,EURO,71,203,D,1999,272,192,50,2,4,6,16,1,0,0,0,0,0,0,0,no,7.720412000000002,0.0004434810083349701,4
18556,"Andrei Kruchinin",20,EURO,73,196,D,1998,189,92,50,0,6,6,75,6,0,0,0,0,0,0,0,no,9.911462,0.00004960040288261452,4
18844,"Dmitri Upper",22,EURO,73,203,C,2000,136,211,43,20,10,30,66,7,5,1,1,2,4,0,0,no,3.9512899999999966,0.018867067789185937,4
19111,"Alexander Tatarinov",18,EURO,71,216,R,2000,53,23,45,14,12,26,105,6,0,0,0,0,0,0,0,no,9.195324999999999,0.0001015025630867738,4
19122,"Alexander Seluyanov",18,EURO,74,190,D,2000,128,34,37,4,7,11,18,2,0,0,0,0,0,0,0,no,11.318429999999996,0.000012146832194486216,4
19350,"Scott Dobben",19,CAN,73,205,L,2002,113,92,68,31,32,63,72,38,21,4,11,15,24,8,0,no,318.669676,4.013452831951036e-139,4
19744,"Jimmy Cuddihy",18,CAN,75,205,C,2002,197,120,56,9,18,27,49,6,0,0,0,0,0,0,0,no,4.611718,0.009837007690013892,4
20527,"Vladislav Yevseyev",18,EURO,74,216,L,2002,56,23,23,4,6,10,12,8,0,0,0,0,0,0,0,no,10.055489999999997,0.00004294746435613179,4
20971,"Mark Kosick",19,CAN,72,187,C,1998,211,92,45,14,32,46,18,12,0,0,0,0,0,0,0,no,5.046079999999998,0.006393369161157938,4
21070,"Ivan Tkachenko",23,EURO,71,187,R,2002,98,120,54,16,24,40,61,24,9,5,2,7,4,6,0,no,247.87674099999995,2.230998054360441e-108,4
21472,"Stefan Schauer",18,EURO,73,187,D,2001,162,176,56,4,9,13,54,6,5,0,1,1,0,0,0,no,8.701476000000001,0.00016631244727023873,4
22615,"Wade Davis",18,CAN,77,216,D,2000,141,51,61,3,15,18,59,32,13,0,2,2,15,8,0,no,325.254477,5.543389879046139e-142,4
22789,"Jaroslav Kracik",19,EURO,73,187,C,2002,231,120,51,19,39,58,46,29,2,0,0,0,0,0,0,no,6.825460999999997,0.0010845976543395323,4
24113,"Tim Smith",19,CAN,69,185,C,2000,272,211,71,26,70,96,65,29,15,7,7,14,32,3,0,no,114.68457599999998,1.559988812407858e-50,4
