id,PlayerName,DraftAge,Country,country_group,Height,Weight,Position,DraftYear,Overall,CSS_rank,rs_GP,rs_G,rs_A,rs_P,rs_PIM,rs_PlusMinus,po_GP,po_G,po_A,po_P,po_PIM,po_PlusMinus,sum_7yr_GP,sum_7yr_TOI,GP_greater_than_0
78938,Travis Eagles,18,Canada,CAN,76,194,R,1999,198,,48,1,9,10,66,-2,5,0,0,0,8,-3,0,0,no
79014,Bret Dececco,19,Canada,CAN,71,190,R,1999,206,,72,57,43,100,81,26,11,1,4,5,21,-3,0,0,no
79015,Todd Hornung,18,Canada,CAN,72,201,C,1998,59,,64,19,18,37,96,13,16,6,6,12,26,6,0,0,no
79187,Ian Forbes,18,Canada,CAN,78,216,D,1998,51,,61,2,3,5,164,3,13,0,0,0,16,1,0,0,no
79288,Eric Laplante,19,Canada,CAN,72,185,L,1998,65,,40,19,22,41,193,-10,0,0,0,0,0,0,0,0,no
79304,Geoff Koch,19,USA,USA,74,196,L,1998,85,,43,5,6,11,51,0,0,0,0,0,0,0,0,0,no
79344,Kent Sauer,19,USA,USA,74,227,D,1998,88,,54,4,19,23,99,0,10,1,2,3,18,0,0,0,no
79345,Andy Burnham,18,Canada,CAN,76,201,R,1998,95,,38,2,4,6,78,3,0,0,0,0,0,0,0,0,no
79356,Erik Wendell,19,USA,USA,73,196,C,1998,125,,17,7,2,9,64,0,0,0,0,0,0,0,0,0,no
79358,Brandon Coalter,20,Canada,CAN,74,201,L,1998,127,,64,8,13,21,143,-15,7,3,3,6,6,0,0,0,no
79360,Gavin Mcleod,18,Canada,CAN,77,216,D,1998,130,,70,3,17,20,98,7,7,0,0,0,14,-3,0,0,no
79362,Aaron Goldade,18,Canada,CAN,73,203,L,1998,137,,66,19,16,35,58,-4,16,0,2,2,22,-2,0,0,no
79388,Martin Beauchesne,18,Canada,CAN,72,201,D,1998,138,,37,1,3,4,105,0,0,0,0,0,0,0,0,0,no
79390,Rick Bertran,18,Canada,CAN,75,181,D,1998,140,,56,0,9,9,149,-12,6,0,0,0,11,-4,0,0,no
79392,Adam Deleeuw,18,Canada,CAN,73,212,L,1998,151,,56,10,6,16,224,0,0,0,0,0,0,0,0,0,no
79394,Ryan Milanovic,18,Canada,CAN,74,216,L,1998,165,,42,1,8,9,72,0,6,1,3,4,19,-1,0,0,no
79434,Jacques Lariviere,19,Canada,CAN,75,218,L,1998,172,,68,3,1,4,249,0,9,0,0,0,15,0,0,0,no
79444,B.J. Ketcheson,18,Canada,CAN,75,201,D,1998,176,,58,3,4,7,99,-24,4,0,1,1,6,-6,0,0,no
79449,Vince Malts,20,USA,USA,75,216,R,1998,177,,33,11,17,28,124,0,11,6,13,19,20,0,0,0,no
79453,Nathan Forster,18,Canada,CAN,73,194,D,1998,179,,68,1,12,13,153,11,5,0,1,1,8,-1,0,0,no
80326,Curtis Valentine,19,USA,USA,77,190,L,1998,219,,38,7,8,15,34,0,0,0,0,0,0,0,0,0,no
80660,Craig Murray,19,Canada,CAN,72,174,L,1998,201,,57,45,52,97,50,0,0,0,0,0,0,0,0,0,no
81552,Don Smith,19,USA,USA,74,205,C,1998,184,,30,4,6,10,8,-4,0,0,0,0,0,0,0,0,no
81623,Oak Hewer,19,Canada,CAN,76,216,R,1998,194,,62,8,11,19,68,-30,0,0,0,0,0,0,0,0,no
81634,Joel Scherban,18,Canada,CAN,74,207,C,1998,196,,8,2,5,7,2,5,16,2,3,5,4,1,0,0,no
81635,Brad Twordik,19,Canada,CAN,70,201,L,1998,197,,69,23,49,72,81,22,18,5,11,16,35,9,0,0,no
81636,Erik Jensen,19,USA,USA,73,196,R,1998,199,,41,12,14,26,90,0,11,2,5,7,60,0,0,0,no
81640,Scott Perry,20,USA,USA,72,181,C,1998,200,,38,5,12,17,18,0,0,0,0,0,0,0,0,0,no
81642,Graig Mischler,20,USA,USA,75,194,C,1998,204,,39,7,13,20,22,0,0,0,0,0,0,0,0,0,no
82977,Sean Griffin,18,Canada,CAN,75,216,D,1998,210,,63,0,6,6,97,4,12,0,0,0,13,-5,0,0,no
82978,David Bernier,20,Canada,CAN,74,187,R,1998,205,,70,35,53,88,88,34,14,7,8,15,1,0,0,0,no
82980,Christian Lefebvre,20,Canada,CAN,77,216,D,1998,213,,8,0,0,0,18,0,0,0,0,0,0,0,0,0,no
82981,Justin Hansen,18,Canada,CAN,73,194,C,1998,214,,67,16,18,34,97,-4,0,0,0,0,0,0,0,0,no
83049,Jason Doyle,20,Canada,CAN,73,205,R,1998,242,,46,15,22,37,70,-24,10,7,4,11,11,4,0,0,no
83050,Andrei Yershov,22,Russia,EURO,72,176,D,1998,240,,45,5,8,13,60,0,0,0,0,0,0,0,0,0,no
83097,Darcy Harris,20,Canada,CAN,73,181,R,1998,247,,61,21,19,40,200,1,6,2,4,6,28,-1,0,0,no
83102,Alexandre Couture,18,Canada,CAN,75,223,L,1998,238,,66,15,19,34,144,-18,0,0,0,0,0,0,0,0,no
83105,Ben Blais,20,USA,USA,75,198,D,1998,237,,54,12,39,51,75,0,0,0,0,0,0,0,0,0,no
83452,Dwight Wolfe,18,Canada,CAN,78,214,D,1998,215,,52,0,2,2,72,-12,5,0,0,0,0,-4,0,0,no
83453,Sergei Verenikin,19,Russia,EURO,71,187,R,1998,223,,22,3,2,5,38,0,0,0,0,0,0,0,0,0,no
8459069,Jiri Dopita,30,CZE,EURO,76,222,C,1998,123,,72,27,41,68,74,0,10,12,6,18,4,0,73,1082,yes
8464963,Lance Ward,20,CAN,CAN,75,214,R,1998,63,,71,8,25,33,233,-7,5,0,0,0,16,0,209,2395,yes
8465003,Pierre Dagenais,20,CAN,CAN,77,218,R,1998,105,,60,66,67,133,50,40,6,6,2,8,2,0,110,1320,yes
8465016,Scott Parker,20,USA,USA,77,240,R,1998,20,,71,30,22,52,243,-4,7,6,0,6,23,0,252,1401,yes
8465020,Gordie Dwyer,20,CAN,CAN,75,202,L,1998,152,,59,18,27,45,365,6,14,4,9,13,67,0,108,616,yes
8465028,Boyd Kane,20,CAN,CAN,74,229,L,1998,114,,68,48,45,93,133,38,9,5,7,12,29,0,7,70,yes
8465165,Evgeny Korolev,20,RUS,EURO,73,214,D,1998,182,,64,9,31,40,75,-15,15,2,7,9,29,0,42,584,yes
8466130,Andrei Bashkirov,28,RUS,EURO,72,215,L,1998,132,,83,31,54,85,21,0,4,2,2,4,2,0,30,289,yes
8466145,Nick Boynton,20,CAN,CAN,73,218,D,1999,21,,56,12,54,66,87,53,14,2,15,17,22,0,299,6308,yes
8466211,Robert Schnabel,20,CZE,EURO,77,232,D,1998,129,,61,1,22,23,143,0,5,0,0,0,16,0,22,303,yes
8466349,Kent McDonell,20,CAN,CAN,74,195,R,1999,181,,60,31,38,69,110,32,11,4,3,7,36,0,32,324,yes
8466394,Brad Moran,19,CAN,CAN,71,182,C,1998,191,,72,53,49,102,64,0,18,10,8,18,20,0,5,43,yes
8467336,Mike Rupp,20,USA,USA,77,235,L,2000,76,,58,32,21,53,134,4,13,5,5,10,22,0,199,1796,yes
8467356,Ramzi Abid,20,CAN,CAN,74,210,L,2000,85,,72,67,91,158,209,39,14,16,17,33,26,0,68,824,yes
8467371,Mike Ribeiro,18,CAN,CAN,72,179,C,1998,45,,67,40,85,125,55,0,6,3,1,4,0,0,197,2782,yes
8467372,Justin Papineau,20,CAN,CAN,71,180,C,2000,75,,60,40,36,76,52,18,16,4,12,16,16,0,81,696,yes
8467381,Ryan Barnes,18,CAN,CAN,73,201,L,1998,55,,46,13,18,31,111,0,10,0,2,2,24,0,2,5,yes
8467383,Tyler Bouck,18,CAN,CAN,72,196,L,1998,57,,65,11,26,37,90,0,11,1,0,1,21,0,73,646,yes
8467389,Brad Richards,18,CAN,CAN,72,199,C,1998,64,,68,33,82,115,44,0,19,8,24,32,2,0,326,6257,yes
8467393,Jarkko Ruutu,23,FIN,EURO,73,204,L,1998,68,,47,11,10,21,182,0,9,7,4,11,10,0,185,1929,yes
8467403,Peter Nordstrom,24,SWE,EURO,73,200,R,1998,78,,45,6,19,25,46,0,12,5,7,12,8,0,2,16,yes
8467407,Brian Gionta,19,USA,USA,67,178,R,1998,82,,40,30,32,62,44,0,0,0,0,0,0,0,166,2403,yes
8467408,Matt Walker,18,CAN,CAN,76,215,D,1998,83,,64,2,13,15,124,0,20,0,0,0,23,0,30,337,yes
8467414,Ryan Jardine,18,CAN,CAN,72,210,L,1998,89,,65,28,32,60,16,0,0,0,0,0,0,0,8,71,yes
8467417,Eric Beaudoin,18,CAN,CAN,77,220,L,1998,92,,62,9,13,22,43,0,17,3,4,7,8,0,53,596,yes
8467418,Tommy Vestlund,24,SWE,EURO,72,202,L,1998,93,,46,29,9,38,45,0,3,0,1,1,0,0,203,2023,yes
8467422,Rob Davison,18,CAN,CAN,74,215,D,1998,98,,59,0,11,11,200,0,0,0,0,0,0,0,70,1058,yes
8467423,Shawn Horcoff,20,CAN,CAN,73,210,C,1998,99,,34,14,13,27,50,0,0,0,0,0,0,0,268,3595,yes
8467425,Petr Schastlivy,19,RUS,EURO,73,204,L,1998,101,,51,15,9,24,34,0,0,0,0,0,0,0,129,1455,yes
8467427,Kip Brennan,18,CAN,CAN,76,230,L,1998,103,,48,0,10,10,188,0,0,0,0,0,0,0,46,219,yes
8467429,Chris Corrinet,20,USA,USA,75,220,R,1998,107,,31,3,6,9,22,0,0,0,0,0,0,0,8,81,yes
8467439,Jaroslav Spacek,24,CZE,EURO,72,210,D,1998,117,,57,12,19,31,69,0,12,2,5,7,14,0,420,9069,yes
8467440,Mike Siklenka,19,CAN,CAN,77,240,R,1998,118,,54,10,17,27,120,0,0,0,0,0,0,0,2,6,yes
8467444,Patrick Leahy,19,USA,USA,75,200,R,1998,122,,28,0,1,1,24,0,0,0,0,0,0,0,6,33,yes
8467445,Francis Belanger,20,CAN,CAN,74,233,L,1998,124,,63,40,33,73,381,0,17,14,8,22,61,0,10,45,yes
8467452,Rob Scuderi,20,USA,USA,73,216,D,1998,134,,42,0,24,24,12,0,0,0,0,0,0,0,13,261,yes
8467461,Ryan Flinn,18,CAN,CAN,76,235,L,1998,143,,59,4,12,16,217,0,15,1,0,1,63,0,29,139,yes
8467463,Mikael Samuelsson,22,SWE,EURO,74,218,R,1998,145,,51,16,10,26,80,0,0,0,0,0,0,0,188,2475,yes
8467466,Trent Hunter,18,CAN,CAN,75,217,R,1998,150,,60,13,14,27,34,0,8,1,0,1,4,0,85,1302,yes
8467468,Pavel Patera,27,CZE,EURO,73,181,L,1998,153,,61,16,23,39,62,0,0,0,0,0,0,0,32,458,yes
8467469,Allan Rourke,18,CAN,CAN,74,215,D,1998,154,,48,5,17,22,59,0,6,1,1,2,6,0,25,311,yes
8467475,Jesse Fibiger,20,CAN,CAN,75,215,D,1998,178,,40,3,6,9,82,0,0,0,0,0,0,0,16,97,yes
8467483,Tyler Arnason,19,USA,USA,71,204,C,1998,183,,52,37,45,82,16,0,4,1,1,2,2,0,185,2744,yes
