@relation 'QueryResult-weka.filters.unsupervised.attribute.Remove-R1-2,8-9,23-24'

@attribute DraftAge_norm numeric
@attribute country_group {EURO,CAN,USA}
@attribute Height_norm numeric
@attribute Weight_norm numeric
@attribute Position {D,C,L,R}
@attribute CSS_rank_norm numeric
@attribute rs_GP_norm numeric
@attribute rs_G_norm numeric
@attribute rs_A_norm numeric
@attribute rs_P_norm numeric
@attribute rs_PIM_norm numeric
@attribute rs_PlusMinus_norm numeric
@attribute po_GP_norm numeric
@attribute po_G_norm numeric
@attribute po_A_norm numeric
@attribute po_P_norm numeric
@attribute po_PIM_norm numeric
@attribute po_PlusMinus_norm numeric
@attribute GP_greater_than_0 {no,yes}

@data
0,CAN,0.428571,0.355769,L,?,0.766667,0.205479,0.254902,0.259494,0.164927,0.552,0.133333,0.095238,0.115385,0.108696,0.1,0.333333,no
0.428571,EURO,0.571429,0.317308,D,?,0.377778,0,0.039216,0.025316,0.025052,0.552,0.233333,0,0.076923,0.043478,0.133333,0.375,no
0.071429,EURO,0.428571,0.230769,C,?,0.666667,0.30137,0.176471,0.253165,0.050104,0.584,0.166667,0.095238,0.076923,0.086957,0.033333,0.375,no
0.071429,CAN,0.357143,0.230769,L,?,0.755556,0.287671,0.215686,0.272152,0.254697,0.416,0.133333,0.095238,0,0.043478,0.033333,0.291667,no
0.142857,EURO,0.571429,0.230769,C,?,0.5,0.246575,0.147059,0.208861,0.112735,0.488,0,0,0,0,0,0.375,no
0,CAN,0.714286,0.615385,D,?,0.555556,0.013699,0.019608,0.018987,0.377871,0.512,0.1,0,0,0,0.058333,0.375,no
0.142857,CAN,0.428571,0.403846,D,?,0.733333,0.027397,0.205882,0.14557,0.563674,0.776,0.166667,0,0.038462,0.021739,0.066667,0.25,no
0,CAN,0.642857,0.673077,D,?,0.766667,0.054795,0.058824,0.063291,0.162839,0.536,0,0,0,0,0,0.375,no
0.071429,EURO,0.5,0.355769,D,?,0.488889,0.041096,0.078431,0.06962,0.041754,0.624,0.233333,0,0,0,0.016667,0.375,no
0,EURO,0.214286,0.355769,R,?,0.233333,0.054795,0.04902,0.056962,0.164927,0.552,0,0,0,0,0,0.375,no
0,CAN,0.642857,0.701923,D,?,0.677778,0.09589,0.078431,0.094937,0.048017,0.592,0.333333,0,0,0,0.033333,0.291667,no
0,EURO,0.571429,0.384615,R,?,0.344444,0.068493,0.04902,0.063291,0.058455,0.552,0,0,0,0,0,0.375,no
0.071429,EURO,0.428571,0.336538,L,?,0.111111,0.068493,0.009804,0.037975,0.098121,0.496,0,0,0,0,0,0.375,no
0,CAN,0.428571,0.528846,D,?,0.8,0.150685,0.264706,0.240506,0.098121,0.2,0,0,0,0,0,0.375,no
0,CAN,0.5,0.461538,R,?,0.644444,0.150685,0.098039,0.132911,0.167015,0.552,0.333333,0.095238,0.076923,0.086957,0.016667,0.375,no
0,CAN,0.428571,0.384615,D,?,0.433333,0.013699,0.029412,0.025316,0.319415,0.44,0,0,0,0,0,0.375,no
0.071429,EURO,0.642857,0.355769,D,?,0.388889,0.054795,0.137255,0.113924,0.271399,0.552,0,0,0,0,0,0.375,no
0.071429,EURO,0.428571,0.403846,D,?,0.733333,0.09589,0.137255,0.132911,0.154489,0.552,0.266667,0.095238,0.038462,0.065217,0,0.375,no
0.142857,CAN,0.428571,0.192308,D,?,0.7,0.068493,0.264706,0.202532,0.22547,0.544,0.2,0,0.153846,0.086957,0.066667,0.333333,no
0.142857,USA,0.357143,0.298077,D,?,0.233333,0.027397,0.04902,0.044304,0.016701,0.552,0,0,0,0,0,0.375,no
0.071429,USA,0.571429,0.490385,R,?,0.766667,0.027397,0.04902,0.044304,0.384134,0.344,0,0,0,0,0,0.375,no
0,CAN,0.5,0.403846,L,?,0.744444,0.013699,0.029412,0.025316,0.448852,0.576,0.166667,0,0,0,0.125,0.375,no
0.142857,USA,0.142857,0,C,?,0.466667,0.068493,0.068627,0.075949,0.020877,0.528,0,0,0,0,0,0.375,no
0.142857,CAN,0.357143,0.567308,R,?,0.555556,0.136986,0.078431,0.113924,0.361169,0.552,0.466667,0.190476,0.076923,0.130435,0.4,0.416667,no
0.142857,CAN,0.642857,0.442308,D,?,0.288889,0,0.009804,0.006329,0.025052,0.552,0,0,0,0,0,0.375,no
0.071429,EURO,0.285714,0.173077,L,?,0.322222,0.082192,0.058824,0.075949,0.033403,0.552,0.1,0,0,0,0,0.375,no
0.142857,CAN,0.571429,0.721154,D,?,0.733333,0.30137,0.509804,0.468354,0.041754,0.616,0.466667,0.190476,0.307692,0.26087,0.033333,0.291667,no
0,CAN,0.571429,0.278846,D,?,0.777778,0.041096,0.137255,0.107595,0.066806,0.544,0.4,0,0.076923,0.043478,0.016667,0.625,no
0.071429,EURO,0.428571,0.528846,L,?,0.411111,0.191781,0.058824,0.126582,0.079332,0.552,0.066667,0,0,0,0,0.375,no
0,EURO,0.357143,0.192308,L,?,0.388889,0.013699,0.029412,0.025316,0.093946,0.552,0,0,0,0,0,0.375,no
0.142857,CAN,0.5,0.423077,D,?,0.6,0.219178,0.372549,0.341772,0.229645,0.552,0,0,0,0,0,0.375,no
0,CAN,0.357143,0.173077,L,?,0.644444,0.09589,0.098039,0.107595,0.100209,0.632,0.5,0.047619,0.038462,0.043478,0.066667,0.375,no
0,CAN,0.642857,0.317308,R,?,0.533333,0.013699,0.088235,0.063291,0.137787,0.536,0.166667,0,0,0,0.066667,0.25,no
0.071429,CAN,0.285714,0.278846,R,?,0.8,0.780822,0.421569,0.632911,0.169102,0.76,0.366667,0.047619,0.153846,0.108696,0.175,0.25,no
0,CAN,0.357143,0.384615,C,?,0.711111,0.260274,0.176471,0.234177,0.200418,0.656,0.533333,0.285714,0.230769,0.26087,0.216667,0.625,no
0,CAN,0.785714,0.528846,D,?,0.677778,0.027397,0.029412,0.031646,0.34238,0.576,0.433333,0,0,0,0.133333,0.416667,no
0.071429,CAN,0.357143,0.230769,L,?,0.444444,0.260274,0.215686,0.259494,0.402923,0.472,0,0,0,0,0,0.375,no
0.071429,USA,0.5,0.336538,L,?,0.477778,0.068493,0.058824,0.06962,0.106472,0.552,0,0,0,0,0,0.375,no
0.071429,USA,0.5,0.634615,D,?,0.6,0.054795,0.186275,0.14557,0.206681,0.552,0.333333,0.047619,0.076923,0.065217,0.15,0.375,no
0,CAN,0.642857,0.384615,R,?,0.422222,0.027397,0.039216,0.037975,0.162839,0.576,0,0,0,0,0,0.375,no
0.071429,USA,0.428571,0.336538,C,?,0.188889,0.09589,0.019608,0.056962,0.133612,0.552,0,0,0,0,0,0.375,no
0.142857,CAN,0.5,0.384615,L,?,0.711111,0.109589,0.127451,0.132911,0.298539,0.432,0.233333,0.142857,0.115385,0.130435,0.05,0.375,no
0,CAN,0.714286,0.528846,D,?,0.777778,0.041096,0.166667,0.126582,0.204593,0.608,0.233333,0,0,0,0.116667,0.25,no
0,CAN,0.428571,0.403846,L,?,0.733333,0.260274,0.156863,0.221519,0.121086,0.52,0.533333,0,0.076923,0.043478,0.183333,0.291667,no
0,CAN,0.357143,0.384615,D,?,0.411111,0.013699,0.029412,0.025316,0.219207,0.552,0,0,0,0,0,0.375,no
0,CAN,0.571429,0.192308,D,?,0.622222,0,0.088235,0.056962,0.311065,0.456,0.2,0,0,0,0.091667,0.208333,no
0,CAN,0.428571,0.490385,L,?,0.622222,0.136986,0.058824,0.101266,0.467641,0.552,0,0,0,0,0,0.375,no
0,CAN,0.5,0.528846,L,?,0.466667,0.013699,0.078431,0.056962,0.150313,0.552,0.2,0.047619,0.115385,0.086957,0.158333,0.333333,no
0.071429,CAN,0.571429,0.548077,L,?,0.755556,0.041096,0.009804,0.025316,0.519833,0.552,0.3,0,0,0,0.125,0.375,no
0,CAN,0.571429,0.384615,D,?,0.644444,0.041096,0.039216,0.044304,0.206681,0.36,0.133333,0,0.038462,0.021739,0.05,0.125,no
0.142857,USA,0.571429,0.528846,R,?,0.366667,0.150685,0.166667,0.177215,0.258873,0.552,0.366667,0.285714,0.5,0.413043,0.166667,0.375,no
